# damage-curve-audit — rule=whole

Rule: today's rule — a foe crit doubles the WHOLE lvl^2 + dmgBonus + dice sum.
Band levels: median meanLevel from docs/class-pass/v17-p51-after-smoke.json (commit 608a0e5).

Filter (depth 1-4): hero level 2 (118 smoke cells) — MU bar 35.0, Fighter bar 59.0
Wall (depth 5-8): hero level 3 (25 smoke cells) — MU bar 39.5, Fighter bar 62.5
Breakaway (depth 9-15): hero level 5 (0 smoke cells) — MU bar 53.5, Fighter bar 69.5
Endgame (depth 16-20): hero level 5 (0 smoke cells) — MU bar 53.5, Fighter bar 69.5

## Filter (depth 1-4, hero level 2)

| tier | type | name | dice | atk | levelBase | dmgBonus | hitMax | critMax | boltMax | maxSingleHit | worstTurn | MU bar | FT bar | % of MU bar | verdict |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | Beasts | Bat/Rat | flat+1 | 2 | 1 | 0 | 2 | 4 | 0 | 4 | 8 | 35.0 | 59.0 | 11% | - |
| 1 | Beasts | Shriek | d6 (default) | 1 | 1 | 0 | 7 | 14 | 0 | 14 | 14 | 35.0 | 59.0 | 40% | - |
| 1 | Beasts | Viper | d6 (default) | 1 | 1 | 0 | 7 | 14 | 0 | 14 | 14 | 35.0 | 59.0 | 40% | - |
| 2 | Beasts | Cave Bear | 1d8+0 | 1 | 4 | -1 | 11 | 22 | 0 | 22 | 22 | 35.0 | 59.0 | 63% | FLAG |
| 2 | Beasts | Zit | d6 (default) | 1 | 4 | -1 | 9 | 18 | 0 | 18 | 18 | 35.0 | 59.0 | 51% | - |
| 3 | Beasts | Drat | d6 (default) | 1 | 9 | -2 | 13 | 26 | 0 | 26 | 26 | 39.5 | 62.5 | 66% | FLAG |
| 3 | Beasts | Flube | d6 (default) | 1 | 9 | -2 | 13 | 26 | 0 | 26 | 26 | 39.5 | 62.5 | 66% | FLAG |
| 3 | Beasts | Rast | 1d8+4 | 1 | 9 | -2 | 19 | 38 | 0 | 38 | 38 | 39.5 | 62.5 | 96% | FLAG |
| 3 | Beasts | Sterling | 1d12+0 | 1 | 9 | -2 | 19 | 38 | 0 | 38 | 38 | 39.5 | 62.5 | 96% | FLAG |
| 3 | Beasts | Wolf | 1d6+2 | 1 | 9 | -2 | 15 | 30 | 0 | 30 | 30 | 39.5 | 62.5 | 76% | FLAG |
| 4 | Beasts | Drake | 2d10+4 | 1 | 16 | -3 | 37 | 74 | 24 | 74 | 74 | 46.0 | 66.0 | 161% | FLAG |
| 4 | Beasts | Stink Bug | d6 (default) | 1 | 16 | -3 | 19 | 38 | 0 | 38 | 38 | 46.0 | 66.0 | 83% | FLAG |
| 1 | Demons | Gremlin | 1d6+3 | 1 | 1 | 0 | 10 | 20 | 0 | 20 | 20 | 35.0 | 59.0 | 57% | - |
| 2 | Demons | Poltergeist | d6 (default) | 2 | 4 | -1 | 9 | 18 | 0 | 18 | 36 | 35.0 | 59.0 | 51% | - |
| 3 | Demons | Rinkle | d6 (default) | 1 | 9 | -2 | 13 | 26 | 0 | 26 | 26 | 39.5 | 62.5 | 66% | FLAG |
| 4 | Demons | Djinni | 1d4+0 | 1 | 16 | -3 | 17 | 34 | 24 | 34 | 34 | 46.0 | 66.0 | 74% | FLAG |
| 4 | Demons | Ghost | d6 (default) | 1 | 16 | -3 | 19 | 38 | 0 | 38 | 38 | 46.0 | 66.0 | 83% | FLAG |
| 4 | Demons | Spectre | d6 (default) | 1 | 16 | -3 | 19 | 38 | 0 | 38 | 38 | 46.0 | 66.0 | 83% | FLAG |
| 1 | Humans | Ned | d6 (default) | 1 | 1 | 0 | 7 | 14 | 0 | 14 | 14 | 35.0 | 59.0 | 40% | - |
